size,tipo,dominio,muestra,time_ms,rss_before_kb,rss_after_kb,delta_rss_kb,peak_kb,delta_peak_from_start_kb
16,dispersa,D0,a,0.006,1776,2600,824,2540,764
16,dispersa,D0,b,0.006,1776,2600,824,2540,764
16,dispersa,D0,c,0.006,1776,2600,824,2540,764
16,dispersa,D10,a,0.006,1776,2600,824,2540,764
16,dispersa,D10,b,0.005,1776,2600,824,2540,764
16,dispersa,D10,c,0.005,1776,2600,824,2540,764
16,diagonal,D0,a,0.005,1776,2600,824,2540,764
16,diagonal,D0,b,0.005,1776,2600,824,2540,764
16,diagonal,D0,c,0.005,1776,2600,824,2540,764
16,diagonal,D10,a,0.009,1776,2600,824,2540,764
16,diagonal,D10,b,0.005,1776,2600,824,2540,764
16,diagonal,D10,c,0.005,1776,2600,824,2540,764
16,densa,D0,a,0.008,1776,2600,824,2540,764
16,densa,D0,b,0.005,1776,2600,824,2540,764
16,densa,D0,c,0.005,1776,2600,824,2540,764
16,densa,D10,a,0.005,1776,2600,824,2540,764
16,densa,D10,b,0.005,1776,2600,824,2540,764
16,densa,D10,c,0.005,1776,2600,824,2540,764
64,dispersa,D0,a,0.161,1776,2600,824,2540,764
64,dispersa,D0,b,0.157,1776,2600,824,2540,764
64,dispersa,D0,c,0.159,1776,2600,824,2540,764
64,dispersa,D10,a,0.157,1776,2600,824,2540,764
64,dispersa,D10,b,0.157,1776,2600,824,2540,764
64,dispersa,D10,c,0.234,1776,2600,824,2540,764
64,diagonal,D0,a,0.207,1776,2600,824,2540,764
64,diagonal,D0,b,0.157,1776,2600,824,2540,764
64,diagonal,D0,c,0.158,1776,2600,824,2540,764
64,diagonal,D10,a,0.157,1776,2600,824,2540,764
64,diagonal,D10,b,0.160,1776,2600,824,2540,764
64,diagonal,D10,c,0.156,1776,2600,824,2540,764
64,densa,D0,a,0.157,1776,2600,824,2540,764
64,densa,D0,b,0.161,1776,2600,824,2540,764
64,densa,D0,c,0.158,1776,2600,824,2540,764
64,densa,D10,a,0.157,1776,2600,824,2540,764
64,densa,D10,b,0.160,1776,2600,824,2540,764
64,densa,D10,c,0.177,1776,2600,824,2540,764
256,dispersa,D0,a,9.147,1944,3096,1152,2964,1020
256,dispersa,D0,b,8.809,1944,3096,1152,2964,1020
256,dispersa,D0,c,8.828,1944,3096,1152,2964,1020
256,dispersa,D10,a,8.727,1944,3096,1152,2964,1020
256,dispersa,D10,b,8.584,1944,3096,1152,2964,1020
256,dispersa,D10,c,8.516,1944,3096,1152,2964,1020
256,diagonal,D0,a,8.561,1944,3096,1152,2964,1020
256,diagonal,D0,b,8.504,1944,3096,1152,2964,1020
256,diagonal,D0,c,8.640,1944,3096,1152,2964,1020
256,diagonal,D10,a,8.592,1944,3096,1152,2964,1020
256,diagonal,D10,b,8.826,1944,3096,1152,2964,1020
256,diagonal,D10,c,8.942,1944,3096,1152,2964,1020
256,densa,D0,a,8.937,1944,3096,1152,2964,1020
256,densa,D0,b,8.561,1944,3096,1152,2964,1020
256,densa,D0,c,8.507,1944,3096,1152,2964,1020
256,densa,D10,a,8.528,1944,3096,1152,2964,1020
256,densa,D10,b,8.570,1944,3096,1152,2964,1020
256,densa,D10,c,8.625,1944,3096,1152,2964,1020
1024,dispersa,D0,a,911.609,9704,14728,5024,14564,4860
1024,dispersa,D0,b,916.465,9704,14728,5024,14564,4860
1024,dispersa,D0,c,910.794,9704,14728,5024,14564,4860
1024,dispersa,D10,a,894.371,9704,14728,5024,14564,4860
1024,dispersa,D10,b,900.106,9704,14728,5024,14564,4860
1024,dispersa,D10,c,895.194,9704,14728,5024,14564,4860
1024,diagonal,D0,a,901.328,9704,14728,5024,14564,4860
1024,diagonal,D0,b,882.692,9704,14728,5024,14564,4860
1024,diagonal,D0,c,902.818,9704,14728,5024,14564,4860
1024,diagonal,D10,a,885.657,9704,14728,5024,14564,4860
1024,diagonal,D10,b,905.265,9704,14728,5024,14564,4860
1024,diagonal,D10,c,901.395,9704,14728,5024,14564,4860
1024,densa,D0,a,909.103,9704,14728,5024,14564,4860
1024,densa,D0,b,927.836,9704,14728,5024,14564,4860
1024,densa,D0,c,930.455,9704,14728,5024,14564,4860
1024,densa,D10,a,903.237,9704,14728,5024,14564,4860
1024,densa,D10,b,925.701,9704,14728,5024,14564,4860
1024,densa,D10,c,895.734,9704,14728,5024,14564,4860
