size,tipo,dominio,muestra,time_ms,rss_before_kb,rss_after_kb,delta_rss_kb,peak_kb,delta_peak_from_start_kb
16,dispersa,D0,a,1.086,1404,2672,1268,2436,1032
16,dispersa,D0,b,1.132,1404,2608,1204,2436,1032
16,dispersa,D0,c,1.138,1404,2608,1204,2436,1032
16,dispersa,D10,a,1.097,1404,2608,1204,2436,1032
16,dispersa,D10,b,1.093,1404,2608,1204,2436,1032
16,dispersa,D10,c,1.077,1404,2608,1204,2436,1032
16,diagonal,D0,a,1.121,1404,2608,1204,2436,1032
16,diagonal,D0,b,1.301,1404,2608,1204,2436,1032
16,diagonal,D0,c,1.128,1404,2608,1204,2436,1032
16,diagonal,D10,a,1.104,1404,2608,1204,2436,1032
16,diagonal,D10,b,1.110,1404,2608,1204,2436,1032
16,diagonal,D10,c,1.122,1404,2608,1204,2436,1032
16,densa,D0,a,1.113,1404,2608,1204,2436,1032
16,densa,D0,b,1.133,1404,2608,1204,2436,1032
16,densa,D0,c,1.206,1404,2608,1204,2436,1032
16,densa,D10,a,1.145,1404,2608,1204,2436,1032
16,densa,D10,b,1.109,1404,2608,1204,2436,1032
16,densa,D10,c,1.117,1404,2608,1204,2436,1032
64,dispersa,D0,a,54.068,1444,2952,1508,2708,1264
64,dispersa,D0,b,65.128,1444,2952,1508,2580,1136
64,dispersa,D0,c,52.235,1444,2952,1508,2708,1264
64,dispersa,D10,a,51.661,1444,2952,1508,2708,1264
64,dispersa,D10,b,52.257,1444,2952,1508,2708,1264
64,dispersa,D10,c,51.946,1444,2952,1508,2708,1264
64,diagonal,D0,a,52.405,1444,2952,1508,2708,1264
64,diagonal,D0,b,51.841,1444,2952,1508,2708,1264
64,diagonal,D0,c,53.042,1444,2952,1508,2708,1264
64,diagonal,D10,a,52.850,1444,2952,1508,2708,1264
64,diagonal,D10,b,52.949,1444,2952,1508,2708,1264
64,diagonal,D10,c,54.814,1444,2952,1508,2708,1264
64,densa,D0,a,53.181,1444,2952,1508,2708,1264
64,densa,D0,b,52.156,1444,2952,1508,2708,1264
64,densa,D0,c,53.737,1444,2952,1508,2708,1264
64,densa,D10,a,51.782,1444,2952,1508,2708,1264
64,densa,D10,b,52.521,1444,2952,1508,2708,1264
64,densa,D10,c,52.792,1444,2952,1508,2708,1264
256,dispersa,D0,a,2545.749,1944,6548,4604,6324,4380
256,dispersa,D0,b,2674.282,1944,6548,4604,6324,4380
256,dispersa,D0,c,2628.350,1944,6548,4604,6324,4380
256,dispersa,D10,a,2633.479,1944,6548,4604,6324,4380
256,dispersa,D10,b,2585.621,1944,6548,4604,6324,4380
256,dispersa,D10,c,2560.968,1944,6548,4604,6324,4380
256,diagonal,D0,a,2537.251,1944,6552,4608,6324,4380
256,diagonal,D0,b,2532.791,1944,6552,4608,6196,4252
256,diagonal,D0,c,2557.093,1944,6548,4604,6324,4380
256,diagonal,D10,a,2525.861,1944,6552,4608,6324,4380
256,diagonal,D10,b,2519.758,1944,6548,4604,6324,4380
256,diagonal,D10,c,2522.171,1944,6548,4604,6324,4380
256,densa,D0,a,2590.542,1944,6552,4608,6324,4380
256,densa,D0,b,2545.430,1944,6548,4604,6324,4380
256,densa,D0,c,2538.201,1944,6548,4604,6196,4252
256,densa,D10,a,2560.982,1944,6548,4604,6324,4380
256,densa,D10,b,2665.736,1944,6548,4604,6324,4380
256,densa,D10,c,2546.363,1944,6548,4604,6324,4380
1024,dispersa,D0,a,125828.415,9704,61152,51448,60872,51168
1024,dispersa,D0,b,122636.086,9704,61152,51448,60592,50888
1024,dispersa,D0,c,123095.885,9704,61152,51448,60928,51224
1024,dispersa,D10,a,121932.955,9704,61152,51448,60896,51192
1024,dispersa,D10,b,122015.084,9704,61152,51448,60884,51180
1024,dispersa,D10,c,122036.100,9704,61152,51448,60784,51080
1024,diagonal,D0,a,121641.039,9704,61152,51448,60728,51024
1024,diagonal,D0,b,121012.287,9704,61152,51448,60620,50916
1024,diagonal,D0,c,120856.982,9704,61152,51448,60844,51140
1024,diagonal,D10,a,121493.663,9704,61152,51448,60864,51160
1024,diagonal,D10,b,120908.688,9704,61152,51448,60836,51132
1024,diagonal,D10,c,120705.141,9704,61152,51448,60736,51032
1024,densa,D0,a,120745.235,9704,61156,51452,60932,51228
1024,densa,D0,b,121299.787,9704,61156,51452,60804,51100
1024,densa,D0,c,121751.659,9704,61156,51452,60932,51228
1024,densa,D10,a,121901.254,9704,61152,51448,60848,51144
1024,densa,D10,b,121349.017,9704,61152,51448,60848,51144
1024,densa,D10,c,121585.842,9704,61152,51448,60916,51212
