size,tipo,dominio,muestra,time_ms,rss_before_kb,rss_after_kb,delta_rss_kb,peak_kb,delta_peak_from_start_kb
10,ascendente,D1,a,0.001,1420,2248,828,2052,632
10,ascendente,D1,b,0.001,1420,2184,764,2020,600
10,ascendente,D1,c,0.000,1420,2184,764,2020,600
10,ascendente,D7,a,0.000,1420,2184,764,2020,600
10,ascendente,D7,b,0.000,1420,2184,764,2020,600
10,ascendente,D7,c,0.000,1420,2184,764,2020,600
10,descendente,D1,a,0.001,1420,2184,764,2020,600
10,descendente,D1,b,0.000,1420,2184,764,2020,600
10,descendente,D1,c,0.000,1420,2184,764,2020,600
10,descendente,D7,a,0.000,1420,2184,764,2020,600
10,descendente,D7,b,0.000,1420,2184,764,2020,600
10,descendente,D7,c,0.000,1420,2184,764,2020,600
10,aleatorio,D1,a,0.001,1420,2184,764,2020,600
10,aleatorio,D1,b,0.000,1420,2184,764,2020,600
10,aleatorio,D1,c,0.000,1420,2184,764,2020,600
10,aleatorio,D7,a,0.000,1420,2184,764,2020,600
10,aleatorio,D7,b,0.000,1420,2184,764,2020,600
10,aleatorio,D7,c,0.001,1420,2184,764,2020,600
1000,ascendente,D1,a,0.041,1432,2196,764,2020,588
1000,ascendente,D1,b,0.038,1432,2196,764,2020,588
1000,ascendente,D1,c,0.042,1432,2196,764,2020,588
1000,ascendente,D7,a,0.037,1432,2196,764,2020,588
1000,ascendente,D7,b,0.042,1432,2196,764,2020,588
1000,ascendente,D7,c,0.044,1432,2196,764,2020,588
1000,descendente,D1,a,0.040,1432,2196,764,2020,588
1000,descendente,D1,b,0.047,1432,2196,764,2020,588
1000,descendente,D1,c,0.040,1432,2196,764,2020,588
1000,descendente,D7,a,0.037,1432,2196,764,2020,588
1000,descendente,D7,b,0.037,1432,2196,764,2020,588
1000,descendente,D7,c,0.037,1432,2196,764,2020,588
1000,aleatorio,D1,a,0.074,1432,2196,764,2020,588
1000,aleatorio,D1,b,0.064,1432,2196,764,2020,588
1000,aleatorio,D1,c,0.059,1432,2196,764,2020,588
1000,aleatorio,D7,a,0.078,1432,2196,764,2020,588
1000,aleatorio,D7,b,0.072,1432,2196,764,2020,588
1000,aleatorio,D7,c,0.086,1432,2196,764,2020,588
100000,ascendente,D1,a,4.271,2400,3156,756,3312,912
100000,ascendente,D1,b,4.526,2332,3548,1216,3492,1160
100000,ascendente,D1,c,4.306,2332,3548,1216,3492,1160
100000,ascendente,D7,a,4.321,2332,3548,1216,3492,1160
100000,ascendente,D7,b,4.583,2332,3548,1216,3492,1160
100000,ascendente,D7,c,4.265,2332,3548,1216,3492,1160
100000,descendente,D1,a,4.223,2332,3548,1216,3492,1160
100000,descendente,D1,b,4.407,2332,3548,1216,3492,1160
100000,descendente,D1,c,4.294,2332,3548,1216,3492,1160
100000,descendente,D7,a,4.233,2332,3548,1216,3492,1160
100000,descendente,D7,b,4.306,2332,3548,1216,3492,1160
100000,descendente,D7,c,4.274,2332,3548,1216,3492,1160
100000,aleatorio,D1,a,6.560,2332,3548,1216,3492,1160
100000,aleatorio,D1,b,7.301,2332,3548,1216,3492,1160
100000,aleatorio,D1,c,6.831,2332,3548,1216,3492,1160
100000,aleatorio,D7,a,10.072,2332,3548,1216,3492,1160
100000,aleatorio,D7,b,9.975,2332,3548,1216,3492,1160
100000,aleatorio,D7,c,9.995,2332,3548,1216,3492,1160
10000000,ascendente,D1,a,487.101,79748,99904,20156,119268,39520
10000000,ascendente,D1,b,494.949,79748,99904,20156,119268,39520
10000000,ascendente,D1,c,492.887,79748,99904,20156,119268,39520
10000000,ascendente,D7,a,486.677,79748,99904,20156,119140,39392
10000000,ascendente,D7,b,487.563,79748,99904,20156,119268,39520
10000000,ascendente,D7,c,488.901,79748,99904,20156,119268,39520
10000000,descendente,D1,a,493.531,79748,99904,20156,119012,39264
10000000,descendente,D1,b,513.155,79748,99904,20156,119140,39392
10000000,descendente,D1,c,480.855,79748,99904,20156,119268,39520
10000000,descendente,D7,a,536.639,79748,99904,20156,119268,39520
10000000,descendente,D7,b,543.161,79748,99904,20156,119268,39520
10000000,descendente,D7,c,522.440,79748,99904,20156,119268,39520
10000000,aleatorio,D1,a,706.522,79748,99904,20156,119140,39392
10000000,aleatorio,D1,b,725.931,79748,99904,20156,119268,39520
10000000,aleatorio,D1,c,722.555,79748,99904,20156,119268,39520
10000000,aleatorio,D7,a,1266.034,79748,99904,20156,119268,39520
10000000,aleatorio,D7,b,1269.501,79748,99904,20156,119268,39520
10000000,aleatorio,D7,c,1257.048,79748,99904,20156,119268,39520
