size,tipo,dominio,muestra,time_ms,rss_before_kb,rss_after_kb,delta_rss_kb,peak_kb,delta_peak_from_start_kb
10,ascendente,D1,a,0.006,1556,2380,824,2220,664
10,ascendente,D1,b,0.007,1556,2380,824,2220,664
10,ascendente,D1,c,0.006,1556,2380,824,2220,664
10,ascendente,D7,a,0.005,1556,2380,824,2220,664
10,ascendente,D7,b,0.005,1556,2380,824,2220,664
10,ascendente,D7,c,0.005,1556,2380,824,2220,664
10,descendente,D1,a,0.006,1556,2380,824,2220,664
10,descendente,D1,b,0.007,1556,2380,824,2220,664
10,descendente,D1,c,0.007,1556,2380,824,2220,664
10,descendente,D7,a,0.006,1556,2380,824,2220,664
10,descendente,D7,b,0.006,1556,2380,824,2220,664
10,descendente,D7,c,0.006,1556,2380,824,2220,664
10,aleatorio,D1,a,0.007,1556,2380,824,2220,664
10,aleatorio,D1,b,0.006,1556,2380,824,2220,664
10,aleatorio,D1,c,0.006,1556,2380,824,2220,664
10,aleatorio,D7,a,0.005,1556,2380,824,2220,664
10,aleatorio,D7,b,0.006,1556,2380,824,2220,664
10,aleatorio,D7,c,0.006,1556,2380,824,2220,664
1000,ascendente,D1,a,0.804,1556,2380,824,2220,664
1000,ascendente,D1,b,0.795,1556,2380,824,2220,664
1000,ascendente,D1,c,0.799,1556,2380,824,2220,664
1000,ascendente,D7,a,0.393,1556,2380,824,2220,664
1000,ascendente,D7,b,0.431,1556,2380,824,2220,664
1000,ascendente,D7,c,0.455,1556,2380,824,2220,664
1000,descendente,D1,a,0.792,1556,2380,824,2220,664
1000,descendente,D1,b,0.787,1556,2380,824,2220,664
1000,descendente,D1,c,0.789,1556,2380,824,2220,664
1000,descendente,D7,a,0.511,1556,2380,824,2220,664
1000,descendente,D7,b,0.520,1556,2380,824,2220,664
1000,descendente,D7,c,0.514,1556,2380,824,2220,664
1000,aleatorio,D1,a,0.797,1556,2380,824,2220,664
1000,aleatorio,D1,b,0.928,1556,2380,824,2220,664
1000,aleatorio,D1,c,0.799,1556,2380,824,2220,664
1000,aleatorio,D7,a,0.546,1556,2380,824,2220,664
1000,aleatorio,D7,b,0.566,1556,2380,824,2220,664
1000,aleatorio,D7,c,0.542,1556,2380,824,2220,664
100000,ascendente,D1,a,337.538,2332,3292,960,3124,792
100000,ascendente,D1,b,317.114,2332,3292,960,3124,792
100000,ascendente,D1,c,320.051,2332,3292,960,3124,792
100000,ascendente,D7,a,39.093,2332,3156,824,2996,664
100000,ascendente,D7,b,39.161,2332,3156,824,2996,664
100000,ascendente,D7,c,40.223,2332,3156,824,2996,664
100000,descendente,D1,a,320.708,2332,3292,960,3124,792
100000,descendente,D1,b,321.171,2332,3292,960,3124,792
100000,descendente,D1,c,318.290,2332,3292,960,3124,792
100000,descendente,D7,a,55.693,2332,3156,824,2996,664
100000,descendente,D7,b,55.493,2332,3156,824,2996,664
100000,descendente,D7,c,55.022,2332,3156,824,2996,664
100000,aleatorio,D1,a,321.662,2332,3292,960,3124,792
100000,aleatorio,D1,b,317.463,2332,3292,960,3124,792
100000,aleatorio,D1,c,319.076,2332,3292,960,3124,792
100000,aleatorio,D7,a,55.296,2332,3156,824,2996,664
100000,aleatorio,D7,b,55.441,2332,3156,824,2996,664
100000,aleatorio,D7,c,55.097,2332,3156,824,2996,664
10000000,ascendente,D1,a,0.000,0,0,0,0,0
10000000,ascendente,D1,b,0.000,0,0,0,0,0
10000000,ascendente,D1,c,0.000,0,0,0,0,0
10000000,ascendente,D7,a,4928.657,79748,80572,824,80388,640
10000000,ascendente,D7,b,4914.338,79748,80572,824,80388,640
10000000,ascendente,D7,c,5013.843,79748,80572,824,80388,640
10000000,descendente,D1,a,0.000,0,0,0,0,0
10000000,descendente,D1,b,0.000,0,0,0,0,0
10000000,descendente,D1,c,0.000,0,0,0,0,0
10000000,descendente,D7,a,5157.720,79748,80572,824,80388,640
10000000,descendente,D7,b,5156.032,79748,80572,824,80388,640
10000000,descendente,D7,c,5304.954,79748,80572,824,80388,640
10000000,aleatorio,D1,a,0.000,0,0,0,0,0
10000000,aleatorio,D1,b,0.000,0,0,0,0,0
10000000,aleatorio,D1,c,0.000,0,0,0,0,0
10000000,aleatorio,D7,a,5599.462,79748,80572,824,80388,640
10000000,aleatorio,D7,b,5668.808,79748,80572,824,80388,640
10000000,aleatorio,D7,c,5619.203,79748,80572,824,80388,640
